Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
P_base_Link,-0.0062847521117842,2.22044604925031E-16,-0.201786859514905,0,0,0,6.45985390928753,0.0831917714950416,8.00954354923666E-18,-0.00141801465827444,0.0556863824606013,-8.67361737988404E-19,0.0377072153961648,0,0,0,0,0,0,package://claw4/meshes/P_base_Link.STL,1,1,1,0.5,0,0,0,0,0,0,package://claw4/meshes/P_base_Link.STL,,臂_大臂-1;基座-1,S_base_Link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
P_1_Link,-0.0624987281243593,0.000398726519576342,-1.11022302462516E-16,0,0,0,2.29977871437822,0.00397637847664011,3.79971497935492E-05,-6.28837260041593E-18,0.00993203169150051,4.91279109407494E-20,0.00993227410397426,0,0,0,0,0,0,package://claw4/meshes/P_1_Link.STL,1,1,1,0.5,0,0,0,0,0,0,package://claw4/meshes/P_1_Link.STL,,关节_肘-2,S_1_Link,A_1_Link,P_base_to_1_Link,revolute,-0.0115182488057926,0,-0.369820672684002,-1.57079632679488,-1.53966089433424,0,P_base_Link,0,0,1,100,10,-3.14,3.14,,,,,,,,
P_2_Link,0.0261395675954537,0.156837405573887,4.40758540776187E-14,0,0,0,6.27444678594553,0.113519091226906,-0.012336249299687,-3.95598267685648E-17,0.0415576369787414,1.51750187665344E-17,0.0901215297519561,0,0,0,0,0,0,package://claw4/meshes/P_2_Link.STL,1,1,1,0.5,0,0,0,0,0,0,package://claw4/meshes/P_2_Link.STL,,臂_小臂-3,S_2_Link,A_2_Link,P_1_to_2_Link,revolute,-0.124997456248677,0.000797453039112106,0,1.57079632679489,1.39170475447566,3.13521298600109,P_1_Link,0,0,-1,100,10,-3.14,3.14,,,,,,,,
P_left_Link,-0.0876505435844315,-0.0341537264977404,4.03010957938932E-14,0,0,0,4.58036974856787,0.011771753602578,0.000837634574500023,-9.19136626889323E-19,0.0269939517555468,1.2603850255144E-18,0.0311317557771784,0,0,0,0,0,0,package://claw4/meshes/P_left_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://claw4/meshes/P_left_Link.STL,,修改夹爪-7,S_3_Link,Axis_P_2_to_left_Link3,P_2_to_left_Link,continuous,0,0.304138126515083,0,0,0,-1.73594500421685,P_2_Link,-0.273290136443592,0.00381070259111247,0.961924102966759,500000000,10,-3.14,3.14,,,,,,,,
P_right_Link,0.0863889105958468,0.0372297052160662,-5.91193760612896E-14,0,0,0,4.58036974856787,0.0117315995881393,0.00029797142664897,-6.32521853362149E-19,0.0270341057699855,-8.470329472543E-20,0.0311317557771784,0,0,0,0,0,0,package://claw4/meshes/P_right_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://claw4/meshes/P_right_Link.STL,,修改夹爪-8,S_4_Link,Axis_P_2_to_right_Link3,P_2_to_right_Link,continuous,0.0986393923834267,0.287698227783769,0,-3.14159265358979,0,1.447930450626,P_2_Link,-0.272884794791439,-0.015359326262194,0.96192410296676,500000000,10,-3.14,3.14,,,,,,,,
