Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
P_base_Link,-0.00628475211178409,4.44089209850063E-16,-0.201786859514905,0,0,0,6.45985390928753,0.0831917714950416,7.75204553327136E-18,-0.00141801465827444,0.0556863824606013,-4.77048955893622E-18,0.0377072153961648,0,0,0,0,0,0,package://claw4/meshes/P_base_Link.STL,1,1,1,0.5,0,0,0,0,0,0,package://claw4/meshes/P_base_Link.STL,,臂_大臂-1;基座-1,S_base_Link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
P_1_Link,-0.0624987281243594,0.000398726519576453,-1.11022302462516E-16,0,0,0,2.29977871437822,0.00397637847664011,3.79971497935494E-05,-5.85469173142172E-18,0.00993203169150051,3.3881317890172E-21,0.00993227410397426,0,0,0,0,0,0,package://claw4/meshes/P_1_Link.STL,1,1,1,0.5,0,0,0,0,0,0,package://claw4/meshes/P_1_Link.STL,,关节_肘-2,S_1_Link,A_1_Link,P_base_to_1_Link,revolute,-0.0115182488057926,0,-0.369820672684002,-1.57079632679488,-1.53966089433424,0,P_base_Link,0,0,1,100,10,-3.14,3.14,,,,,,,,
P_2_Link,0.0261395676013935,0.156837405589298,-1.56419321939438E-12,0,0,0,6.27444678594553,0.113519091227121,-0.0123362492990608,-1.57344840281959E-16,0.0415576369785267,-8.678178652305E-16,0.0901215297519561,0,0,0,0,0,0,package://claw4/meshes/P_2_Link.STL,1,1,1,0.5,0,0,0,0,0,0,package://claw4/meshes/P_2_Link.STL,,臂_小臂-3,S_2_Link,A_2_Link,P_1_to_2_Link,revolute,-0.12499745623252,0.000797453040616403,0,1.57079632679489,1.40484650611732,3.13521298600109,P_1_Link,0,0,-1,100,10,-3.14,3.14,,,,,,,,
P_left_Link,-0.0809751632854803,-0.0295273983259575,-5.96189764223709E-14,0,0,0,3.97303178078042,0.0092436764101862,0.000875601215844088,-3.91764384808139E-17,0.0219901149960342,1.40268656065312E-18,0.0246120717715863,0,0,0,0,0,0,package://claw4/meshes/P_left_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://claw4/meshes/P_left_Link.STL,,修改夹爪-7,S_3_Link,Axis_P_2_to_left_Link3,P_2_to_left_Link,continuous,0,0.304138126533306,0,0,0,-1.73594500420734,P_2_Link,-0.27331661527534,0.000218965812425212,0.961924102966759,500000000,10,-3.14,3.14,,,,,,,,
P_right_Link,0.0790158483396702,0.0344287675187634,1.11022302462516E-16,0,0,0,3.97303178078042,0.00918444236413519,9.02534586345444E-05,-1.82874413312203E-18,0.0220493490420852,-8.16539761153146E-19,0.0246120717715864,0,0,0,0,0,0,package://claw4/meshes/P_right_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://claw4/meshes/P_right_Link.STL,,修改夹爪-8,S_4_Link,Axis_P_2_to_right_Link3,P_2_to_right_Link,continuous,0.098639392383322,0.287698227802974,0,-3.14159265358979,0,1.46107220226766,P_2_Link,-0.272884794791439,-0.015359326262194,0.96192410296676,500000000,10,-3.14,3.14,,,,,,,,
