Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
P_base_Link,-0.00628475211178421,1.66533453693773E-16,-0.201786859514905,0,0,0,6.45985390928753,0.0831917714950416,-2.1074179727687E-18,-0.00141801465827443,0.0556863824606013,4.33680868994202E-18,0.0377072153961648,0,0,0,0,0,0,package://claw and rod/meshes/P_base_Link.STL,1,1,1,0.5,0,0,0,0,0,0,package://claw and rod/meshes/P_base_Link.STL,,臂_大臂-1;基座-1,S_base_Link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
P_1_Link,-0.0624987499885627,-0.000395284538354929,8.43769498715119E-15,0,0,0,2.29977871437821,0.00397637430948402,-3.76691550020759E-05,4.87890977618477E-18,0.00993203585865657,9.14795583034644E-20,0.00993227410397424,0,0,0,0,0,0,package://claw and rod/meshes/P_1_Link.STL,1,1,1,0.5,0,0,0,0,0,0,package://claw and rod/meshes/P_1_Link.STL,,关节_肘-2,S_1_Link,A_1_Link,P_base_to_1_Link,revolute,-0.011518,0,-0.36982,-1.5708,-1.5397,0,P_base_Link,0,0,1,200,20,-3.14,3.14,,,,,,,,
P_2_Link,0.156837405573848,0.0261395675956409,-1.76941794549634E-16,0,0,0,6.27444678594554,0.0415576369787409,-0.0123362492996854,5.89331643381652E-17,0.113519091226907,1.34441069388203E-17,0.0901215297519563,0,0,0,0,0,0,package://claw and rod/meshes/P_2_Link.STL,1,1,1,0.5,0,0,0,0,0,0,package://claw and rod/meshes/P_2_Link.STL,,臂_小臂-3,S_2_Link,A_2_Link,P_1_to_2_Link,revolute,-0.125,-0.00079057,0,1.5708,0.18691,-3.1353,P_1_Link,0,0,-1,200,20,-3.14,3.14,,,,,,,,
P_left_Link,0.0490265983564535,-0.0687165524722106,7.04297731246584E-16,0,0,0,2.8207521601036,0.0192159768785392,0.00134300200064639,-3.3684806246409E-17,0.00699321135143647,1.9635335448098E-17,0.0215079346298031,0,0,0,0,0,0,package://claw and rod/meshes/P_left_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://claw and rod/meshes/P_left_Link.STL,,夹爪-3,S_left_Link,A_left_Link,P_2_to_left_Link,revolute,0.30414,0,0,3.1416,0,-1.4056,P_2_Link,0,0,-1,200,20,-3.14,3.14,,,,,,,,
P_right_Link,-0.0662799837749544,0.0522736614449653,1.04777297948999E-15,0,0,0,2.8207521601036,0.0175401394644868,0.00441345568788353,6.45710156350898E-17,0.00866904876548891,-8.60483830456699E-17,0.021507934629803,0,0,0,0,0,0,package://claw and rod/meshes/P_right_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://claw and rod/meshes/P_right_Link.STL,,夹爪-4,S_right_Link,A_right_Link,P_2_to_right_Link,revolute,0.2877,0.098639,0,0,0,-1.4056,P_2_Link,0,0,-1,200,20,-3.14,3.14,,,,,,,,
