Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
P_base_Link,-0.00628475211178409,4.44089209850063E-16,-0.201786859514905,0,0,0,6.45985390928753,0.0831917714950416,8.19250266584359E-18,-0.00141801465827444,0.0556863824606013,2.60208521396521E-18,0.0377072153961648,0,0,0,0,0,0,package://claw4/meshes/P_base_Link.STL,1,1,1,0.5,0,0,0,0,0,0,package://claw4/meshes/P_base_Link.STL,,臂_大臂-1;基座-1,S_base_Link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
P_1_Link,-0.0624987281243594,0.000398726519576453,-1.11022302462516E-16,0,0,0,2.29977871437822,0.00397637847664011,3.79971497935492E-05,-6.28837260041593E-18,0.00993203169150051,5.75982404132924E-20,0.00993227410397426,0,0,0,0,0,0,package://claw4/meshes/P_1_Link.STL,1,1,1,0.5,0,0,0,0,0,0,package://claw4/meshes/P_1_Link.STL,,关节_肘-2,S_1_Link,A_1_Link,P_base_to_1_Link,revolute,-0.011518,0,-0.36982,-1.5708,-1.5397,0,P_base_Link,0,0,1,100,10,-3.14,3.14,,,,,,,,
P_2_Link,0.0261395676013935,0.156837405589298,-1.56413770824315E-12,0,0,0,6.27444678594553,0.113519091227121,-0.0123362492990608,-1.56369058326722E-16,0.0415576369785267,-8.70755799008052E-16,0.0901215297519561,0,0,0,0,0,0,package://claw4/meshes/P_2_Link.STL,1,1,1,0.5,0,0,0,0,0,0,package://claw4/meshes/P_2_Link.STL,,臂_小臂-3,S_2_Link,A_2_Link,P_1_to_2_Link,revolute,-0.125,0.00079745,0,1.5708,1.4048,3.1352,P_1_Link,0,0,-1,100,10,-3.14,3.14,,,,,,,,
P_left_Link,-0.0767592691209198,-0.0318355690780961,-5.96189764223709E-14,0,0,0,3.42978569666941,0.00846063169868968,0.000519739491652344,-3.9091099911378E-17,0.0209274055901608,4.70950318673391E-19,0.0236717277944015,0,0,0,0,0,0,package://claw4/meshes/P_left_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://claw4/meshes/P_left_Link.STL,,修改夹爪-7,S_3_Link,Axis_P_2_to_left_Link3,P_2_to_left_Link,revolute,0,0.30414,0,0,0,-1.7359,P_2_Link,-0.27332,0.00021897,0.96192,500000000,10,-3.14,3.14,,,,,,,,
P_right_Link,0.0746665698561824,0.0364745418222668,0,0,0,0,3.42978569666941,0.00844383484025404,-0.000245854364462978,-1.50327172313957E-18,0.0209442024485965,-8.94466792300541E-19,0.0236717277944015,0,0,0,0,0,0,package://claw4/meshes/P_right_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://claw4/meshes/P_right_Link.STL,,修改夹爪-8,S_4_Link,Axis_P_2_to_right_Link3,P_2_to_right_Link,revolute,0.098639,0.2877,0,-3.1416,0,1.4611,P_2_Link,-0.27288,-0.015359,0.96192,500000000,10,-3.14,3.14,,,,,,,,
