Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
P_left_Link,0.0490265983564535,-0.0687165524722106,7.0082828429463E-16,0,0,0,2.8207521601036,0.0192159768785392,0.00134300200064639,-3.36441486649408E-17,0.00699321135143648,1.97141095121926E-17,0.0215079346298031,0,0,0,0,0,0,package://claw  as base/meshes/P_left_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://claw  as base/meshes/P_left_Link.STL,,夹爪-3,S_left_Link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
P_2_Link,-0.050000000000001,0.140999217671032,-3.57353036051222E-16,0,0,0,6.27444678594554,0.115575132776854,1.15272374978659E-15,3.68167952721765E-16,0.0395015954287934,-3.79978980138279E-18,0.0901215297519563,0,0,0,0,0,0,package://claw  as base/meshes/P_2_Link.STL,1,1,1,0.5,0,0,0,0,0,0,package://claw  as base/meshes/P_2_Link.STL,,臂_小臂-3,S_left_Link,A_left_Link,P_2_to_left_Link,revolute,0,0,0,0,0,0,P_left_Link,0,0,-1,200,20,-3.14,3.14,,,,,,,,
P_right_Link,-0.0662799837749544,0.0522736614449653,1.04777297948999E-15,0,0,0,2.8207521601036,0.0175401394644868,0.00441345568788353,6.45710156350898E-17,0.00866904876548891,-8.60483830456699E-17,0.021507934629803,0,0,0,0,0,0,package://claw  as base/meshes/P_right_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://claw  as base/meshes/P_right_Link.STL,,夹爪-4,S_right_Link,A_right_Link,P_2_to_right_Link,revolute,-0.1,0,0,3.1416,0,0,P_2_Link,0,0,-1,200,20,-3.14,3.14,,,,,,,,
P_1_Link,-0.0614114611832884,-0.0116138897590241,3.78169717762944E-16,0,0,0,2.29977871437821,0.00418180093559034,-0.00108750647115445,1.38972695656013E-17,0.00972660923255025,2.69695290405769E-18,0.00993227410397425,0,0,0,0,0,0,package://claw  as base/meshes/P_1_Link.STL,1,1,1,0.5,0,0,0,0,0,0,package://claw  as base/meshes/P_1_Link.STL,,关节_肘-2,S_2_Link,A_2_Link,P_1_to_2_Link,revolute,-0.05,0.3,0,-3.1416,0,-1.4056,P_2_Link,0,0,-1,200,20,-3.14,3.14,,,,,,,,
P_base_Link,0.168115293342971,-1.04083408558608E-17,-5.55111512312578E-17,0,0,0,6.45985390928753,0.0376630506242884,8.16539761153146E-19,-2.60208521396521E-18,0.083235936266918,6.91178884959509E-19,0.0556863824606013,0,0,0,0,0,0,package://claw  as base/meshes/P_base_Link.STL,1,1,1,0.5,0,0,0,0,0,0,package://claw  as base/meshes/P_base_Link.STL,,臂_大臂-1;基座-1,S_1_Link,A_1_Link,P_base_to_1_Link,revolute,-0.12282,-0.023228,0,1.5708,0.0063246,-2.9547,P_1_Link,0,0,1,200,20,-3.14,3.14,,,,,,,,
